,diseases,diseases_abbr,Distance,%M,Gap_M_mean,CI_M,%F,Gap_F_mean,CI_F
12,Pneumothorax,Px,0.016754212121810275,0.6660587269742841,0.008377106060905137,0.010962721475815925,0.33394127302571586,-0.008377106060905137,0.010962721475815925
1,Atelectasis,A,0.024952134499194534,0.6068533735815306,-0.012476067249597267,0.008007059239498807,0.3931466264184694,0.012476067249597267,0.008007059239498807
10,Pleural Other,PO,0.029024240480650165,0.6534700315457413,0.014512120240325083,0.03364201535811679,0.34652996845425865,-0.014512120240325083,0.03364201535811679
4,Edema,Ed,0.03377086621056795,0.5654218736638936,0.016885433105283974,0.017364689848652953,0.4345781263361063,-0.016885433105283974,0.017364689848652953
2,Cardiomegaly,Cd,0.05614002859595528,0.5918838824804028,0.02807001429797764,0.013745534520557741,0.4081161175195972,-0.02807001429797764,0.013745534520557741
3,Consolidation,Co,0.09063350798405484,0.6304306281054911,0.04531675399202742,0.013301908984506132,0.3695693718945088,-0.04531675399202742,0.013301908984506132
7,Lung Lesion,LL,0.10144768201473882,0.5709656513285807,-0.05072384100736941,0.008784735567493911,0.4290343486714193,0.05072384100736941,0.008784735567493911
0,Airspace Opacity,AO,0.1182012332440308,0.6205496478386963,0.0591006166220154,0.011911415028921471,0.3794503521613037,-0.0591006166220154,0.011911415028921471
11,Pneumonia,Pa,0.12792617570962647,0.5917776230998945,0.06396308785481324,0.013846190385390643,0.40822237690010554,-0.06396308785481324,0.013846190385390643
6,Fracture,Fr,0.12949770674944286,0.6633405249910105,0.06474885337472143,0.008664164770497402,0.3366594750089896,-0.06474885337472143,0.008664164770497402
5,Enlarged Cardiomediastinum,EC,0.1571415383956121,0.6191416458563215,0.07857076919780605,0.00836164265378611,0.3808583541436785,-0.07857076919780605,0.00836164265378611
9,Pleural Effusion,Ef,0.183735975732566,0.5513118502330634,-0.091867987866283,0.011951859444402082,0.44868814976693655,0.091867987866283,0.011951859444402082
13,Support Devices,SD,0.28378319795251084,0.654981009162938,0.14189159897625542,0.004945804006657297,0.345018990837062,-0.14189159897625542,0.004945804006657297
8,No Finding,NF,0.36931908879022896,0.4653786751284715,-0.18465954439511448,0.008456476977335384,0.5346213248715285,0.18465954439511448,0.008456476977335384
